#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.1%	1095000	-904.9242765724407	270.90896213990413	1.15e+03	4:07:38
1.1%	1100000	-852.1032394093809	313.9485666852374	1.15e+03	4:07:37
1.1%	1105000	-886.3641093037434	303.14622010615676	1.15e+03	4:07:36
1.1%	1110000	-901.6620615886741	311.8713398721554	1.15e+03	4:07:35
1.1%	1115000	-902.5374905860451	301.4920837127469	1.15e+03	4:07:35
1.1%	1120000	-939.5421441413034	303.80405213499284	1.15e+03	4:07:34
1.1%	1125000	-908.4523669494234	281.9361468048433	1.15e+03	4:07:33
1.1%	1130000	-832.6331920381831	268.722548569045	1.15e+03	4:07:32
1.1%	1135000	-924.0757081299622	302.5947310855009	1.15e+03	4:07:31
1.1%	1140000	-862.6267032673177	306.52991839100486	1.15e+03	4:07:31
1.1%	1145000	-938.1748519821668	296.1983446376274	1.15e+03	4:07:30
1.1%	1150000	-901.2889456931573	274.4554981560281	1.15e+03	4:07:29
1.2%	1155000	-820.0096104651616	310.4077016348792	1.15e+03	4:07:28
1.2%	1160000	-931.2222378840697	288.13532252486016	1.15e+03	4:07:27
1.2%	1165000	-911.7968120245603	313.9976048323553	1.15e+03	4:07:26
1.2%	1170000	-908.7988848293923	302.6885748221972	1.15e+03	4:07:25
1.2%	1175000	-874.5961113360017	326.6571182993192	1.15e+03	4:07:25
1.2%	1180000	-887.1318376968138	281.2482239372498	1.15e+03	4:07:24
1.2%	1185000	-792.7095397047801	292.9233371077197	1.15e+03	4:07:23
1.2%	1190000	-977.5970933706052	324.0937425725975	1.15e+03	4:07:22
1.2%	1195000	-893.4061426945807	275.6338024948009	1.15e+03	4:07:21
1.2%	1200000	-925.9539031899789	325.0795316770341	1.15e+03	4:07:21
1.2%	1205000	-899.0218248514823	301.33779376368943	1.15e+03	4:07:20
1.2%	1210000	-913.9289358222859	311.8928002615549	1.15e+03	4:07:19
1.2%	1215000	-818.7334531453165	332.0496280726458	1.15e+03	4:07:18
1.2%	1220000	-909.4022080702907	294.94993856460655	1.15e+03	4:07:17
1.2%	1225000	-927.7053137838717	334.7214961531733	1.15e+03	4:07:16
1.2%	1230000	-909.8188189353763	317.3483023951375	1.15e+03	4:07:16
1.2%	1235000	-842.1143083989514	330.5335127352509	1.15e+03	4:07:15
1.2%	1240000	-851.703438060824	305.6702132076476	1.15e+03	4:07:14
1.2%	1245000	-851.9793300529691	270.5805586617506	1.15e+03	4:07:13
1.2%	1250000	-922.2989616749034	302.9490755120118	1.15e+03	4:07:13
1.3%	1255000	-819.7052096180213	323.4383574910889	1.15e+03	4:07:12
1.3%	1260000	-845.052607777504	310.4917906491212	1.15e+03	4:07:11
1.3%	1265000	-882.4072190314394	312.2871886504122	1.15e+03	4:07:10
1.3%	1270000	-924.6832483444177	289.8655126865582	1.15e+03	4:07:09
1.3%	1275000	-834.9234757608787	296.3822624894615	1.15e+03	4:07:09
1.3%	1280000	-917.9102152171821	333.62043598949657	1.15e+03	4:07:08
1.3%	1285000	-941.7205111421085	281.2848950803069	1.15e+03	4:07:07
1.3%	1290000	-926.200927585729	313.01558534947736	1.15e+03	4:07:06
1.3%	1295000	-922.9411342550319	307.2662180686008	1.15e+03	4:07:05
1.3%	1300000	-889.9365939281357	279.88887856309566	1.15e+03	4:07:04
1.3%	1305000	-900.0396393326098	323.5881834146164	1.15e+03	4:07:04
1.3%	1310000	-911.2750377576072	317.1453049675199	1.15e+03	4:07:03
1.3%	1315000	-801.6079798037043	327.1470699013733	1.15e+03	4:07:02
1.3%	1320000	-920.3393123405209	283.4565277666335	1.15e+03	4:07:01
1.3%	1325000	-888.0249113237679	259.0925377612693	1.15e+03	4:07:00
1.3%	1330000	-886.6114463683522	291.478646178804	1.15e+03	4:07:00
1.3%	1335000	-905.8403723561626	281.2776203720359	1.15e+03	4:06:59
1.3%	1340000	-936.2587331078569	299.2141741519517	1.15e+03	4:06:58
1.3%	1345000	-941.0729924158452	306.2330110929793	1.15e+03	4:06:57
1.4%	1350000	-842.4922173886183	294.18655713212894	1.15e+03	4:06:56
1.4%	1355000	-911.6199658597203	288.7892195978588	1.15e+03	4:06:56
1.4%	1360000	-847.1718591443381	316.0128643577105	1.15e+03	4:06:55
1.4%	1365000	-916.5144417629109	324.60204627960803	1.15e+03	4:06:54
1.4%	1370000	-925.0191349826596	315.1166202987191	1.15e+03	4:06:53
